Model,State,Point,False_Positive_Rate,True_Positive_Rate,Threshold,State_AUROC
Equal Soft Voting,1,2,0.00625,0.0,0.9685043593098394,0.9212499999999999
Equal Soft Voting,1,3,0.00625,0.02666666666666667,0.95615442626629,0.9212499999999999
Equal Soft Voting,1,4,0.0125,0.02666666666666667,0.9503292299019366,0.9212499999999999
Equal Soft Voting,1,5,0.0125,0.08,0.9368724658752148,0.9212499999999999
Equal Soft Voting,1,6,0.01875,0.08,0.9346554345095092,0.9212499999999999
Equal Soft Voting,1,7,0.01875,0.17333333333333334,0.9174966379292055,0.9212499999999999
Equal Soft Voting,1,8,0.025,0.17333333333333334,0.914801845596806,0.9212499999999999
Equal Soft Voting,1,9,0.025,0.24,0.8937029574683143,0.9212499999999999
Equal Soft Voting,1,10,0.03125,0.24,0.8933285609324525,0.9212499999999999
Equal Soft Voting,1,11,0.03125,0.25333333333333335,0.8900336190506072,0.9212499999999999
Equal Soft Voting,1,12,0.0375,0.25333333333333335,0.8888477342383071,0.9212499999999999
Equal Soft Voting,1,13,0.0375,0.28,0.8866330703721319,0.9212499999999999
Equal Soft Voting,1,14,0.05,0.28,0.8847306615520294,0.9212499999999999
Equal Soft Voting,1,15,0.05,0.37333333333333335,0.8552710508660596,0.9212499999999999
Equal Soft Voting,1,16,0.05625,0.37333333333333335,0.8542323138136969,0.9212499999999999
Equal Soft Voting,1,17,0.05625,0.52,0.791272817133526,0.9212499999999999
Equal Soft Voting,1,18,0.0625,0.52,0.7886296028774087,0.9212499999999999
Equal Soft Voting,1,19,0.0625,0.5866666666666667,0.7562098496316382,0.9212499999999999
Equal Soft Voting,1,20,0.06875,0.5866666666666667,0.7494212611338433,0.9212499999999999
Equal Soft Voting,1,21,0.06875,0.6266666666666667,0.7327771975526277,0.9212499999999999
Equal Soft Voting,1,22,0.075,0.6266666666666667,0.7262519356642135,0.9212499999999999
Equal Soft Voting,1,23,0.075,0.64,0.725111535916649,0.9212499999999999
Equal Soft Voting,1,24,0.08125,0.64,0.7182959462299051,0.9212499999999999
Equal Soft Voting,1,25,0.08125,0.6666666666666666,0.7170889218776869,0.9212499999999999
Equal Soft Voting,1,26,0.0875,0.6666666666666666,0.7170887954071471,0.9212499999999999
Equal Soft Voting,1,27,0.0875,0.6933333333333334,0.7017825147911406,0.9212499999999999
Equal Soft Voting,1,28,0.1,0.6933333333333334,0.6849473785357144,0.9212499999999999
Equal Soft Voting,1,29,0.1,0.72,0.6737859448813688,0.9212499999999999
Equal Soft Voting,1,30,0.1125,0.72,0.6666682912442239,0.9212499999999999
Equal Soft Voting,1,31,0.1125,0.76,0.6383666362088706,0.9212499999999999
Equal Soft Voting,1,32,0.11875,0.76,0.6078846454639193,0.9212499999999999
Equal Soft Voting,1,33,0.11875,0.8133333333333334,0.5741471882408928,0.9212499999999999
Equal Soft Voting,1,34,0.125,0.8133333333333334,0.5691745018113505,0.9212499999999999
Equal Soft Voting,1,35,0.125,0.8266666666666667,0.56766453825551,0.9212499999999999
Equal Soft Voting,1,36,0.14375,0.8266666666666667,0.5602461384120524,0.9212499999999999
Equal Soft Voting,1,37,0.14375,0.88,0.537059804337955,0.9212499999999999
Equal Soft Voting,1,38,0.15,0.88,0.5322334899370641,0.9212499999999999
Equal Soft Voting,1,39,0.15,0.8933333333333333,0.5137628746407011,0.9212499999999999
Equal Soft Voting,1,40,0.19375,0.8933333333333333,0.3812538366374234,0.9212499999999999
Equal Soft Voting,1,41,0.19375,0.9333333333333333,0.2950929138862977,0.9212499999999999
Equal Soft Voting,1,42,0.2,0.9333333333333333,0.2747601619094416,0.9212499999999999
Equal Soft Voting,1,43,0.2,0.9466666666666667,0.1964229597631486,0.9212499999999999
Equal Soft Voting,1,44,0.2125,0.9466666666666667,0.1596548169686278,0.9212499999999999
Equal Soft Voting,1,45,0.2125,0.96,0.1514155817227236,0.9212499999999999
Equal Soft Voting,1,46,0.21875,0.96,0.1417239782574398,0.9212499999999999
Equal Soft Voting,1,47,0.21875,0.9733333333333334,0.1298172072355111,0.9212499999999999
Equal Soft Voting,1,48,0.2375,0.9733333333333334,0.088308159385246,0.9212499999999999
Equal Soft Voting,1,49,0.2375,0.9866666666666667,0.0795583345314415,0.9212499999999999
Equal Soft Voting,1,50,0.26875,0.9866666666666667,0.0486611029858772,0.9212499999999999
Equal Soft Voting,1,51,0.26875,1.0,0.0463880395724566,0.9212499999999999
Equal Soft Voting,1,52,1.0,1.0,0.001625837966372,0.9212499999999999
Equal Soft Voting,2,1,0.0,0.0,,0.9412645297640014
Equal Soft Voting,2,2,0.0,0.014705882352941176,0.9933219812919102,0.9412645297640014
Equal Soft Voting,2,3,0.0,0.4117647058823529,0.943709716661154,0.9412645297640014
